댓글
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
"아무리 쉽게 읽기 편하게 써줘도 윤술통은 유튜브에 빠졌기 때문에 책을 안읽고 안본다는 사실이다, 오직천공과 극우 유튜브만이 신봉하는 개돼지나 다름없다."
"듣고싶은 것만, 보고싶운 것만, 먹고싶은 것만. 이러니 나라가 위험ㄹ함"
"석려라..,,잘 읽어보고, 이봉렬기자에게 ""고맙습니다""해야지"
무식한 자가 뭘 알고 떠드나 써준거나 제대로 읽든지 모르면 공부라도 하든지 전문가를 그렇게 못 믿나
저런 돌을 뽑은 국민은 위대한가 ?? 임기 보장도 할 필요없다 ??
그런거 읽겠어? 카르텔이 원하는 방향을 정해놓고 수치를 조작하고 있을텐데.
무식 무개념
사법시험도 9년 걸렸는데....연구원 보고서 숙지하려면 좀더 시간이 걸릴듯. 어쩌면 퇴임후에 감잡을 수도...
대통령이 다양한 분야의 목소리를 잘듣고 조율하는 정치를 해야되는 자린데 법기술말고 아는것도 없는 인간이 내가 무조건 옳다 이러고 있으니ㅉㅉ
이런거 자세히 분석해서 올려줘도 2찍들은 문재인때문에 삼성이 tsmc에 졌다고 생각합니다..
대한민국 작금의 사태들을 보면 보수와 진보가 바뀐거 같다는 느낌이다. 하긴 저들은 보수도 아니고 보수를 가장한 수구세력 민족 반역자들이지
뇌가 석두에게 너무 많은 것을 바라시네요. 이번 정권은 정적 제거와 뉴라이트 이념에만 촛점을 맞추어 내년 총선에서 승리하는 것 만이 지상 최대의 목표입니다. 국가의 미래가 암울하네요.
"그니까 우리나라 성장동력에 일부였던 사업이 조옷됐다 이말이군요~비메모리부분까지 일본한테마저 졌군요 ,원전팔이 하더만 원자로파괴로 만든 오염수만 잔뜩 가져오시고. 기대한건아니지만 정도가 심허다 심해 박근혜땐 그나마 참모들이라도 일했는디. 폭군이라 참모들도 간신배들만 들 끓으니 처참하다 처참해"
탄핵이 답~~~민주당은 즉각 탄핵 발의에 나서라
멸공과 반국가세력만 외치는 좀비 대통령과 손이 발이되도록 빌 줄만 아는 참모들 낫 놓고 기억지도 모르는 이찍이들 세금깍아주고 혜택 주면 나라도 팔아먹을 강남 서초 이찍이들의 콜라보
대통령의 삽질? 어느나라 대통령을 비난하는 겁니까?초등학생도 자기 학교 선생님이나 부모 비방하는 노골적인 글을 학교신문에 떡하니 올리진 않죠? 최소한의 기본은 지킵시다.이러고 언론의자유?
너무 그러지마라. 접대부끼고 술이나 쳐먹는 왜구가 뭘알겠나..... 접대부 기둥서방이 뭘 알겠냐고... 저걸 뽑은 국민들이 문제지....ㅋㅋㅋ
보고서 볼시간이 없어유~ 극우 유튜브 보면서 술먹어야지유~ㅋㅋ
뭘 제대로 아는게 있어야
이꼴을 보려고 윤가를 찍은게 아니거늘.
"‘아직 안 망했잖아. 더 확실한 것을 가져와.낼 당장 아니 오늘 당장 경제 폭망했다는 증거를 보여줘. 아님 다 가짜뉴스야.’— 이렇게, 2찍과 태극기부대 일베 윤 간첩일당은 오늘도 친일 이념 전파에 몰두하며, 사실보도하는 언론 때려잡고, 자신의 과오를 덮고, 국민을 속여 총선에 탄핵저지선인 100석을 목표로 광분하고 있음."
뭐하나 제대로 하는게없는 바보네 옆에 법사들이 미천하니 하는짓마다 한숨 나온다
그런다고 들을 윤떡이 아니지.
70년대로 회귀하는 쓰레기 정부가 대한민국을 망치고있다 저 자식 뽑은 것들아 니들 손가락부터 자르거라
이념이 중요하댜..굥으로 나라망침
